CustomerID,Age,Gender,Tenure,MonthlyCharges,ContractType,InternetService,TotalCharges,TechSupport,Churn
e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb,27,Male,14,95.05,Month-to-Month,Fiber Optic,1330.7,Yes,Yes
b17ef6d19c7a5b1ee83b907c595526dcb1eb06db8227d650d5dda0a9f4ce8cd9,39,Female,41,89.11,Two-Year,Fiber Optic,3653.51,Yes,No
4523540f1504cd17100c4835e85b7eefd49911580f8efff0599a8f283be6b9e3,34,Female,13,93.79,Month-to-Month,,1219.27,No,Yes
4ec9599fc203d176a301536c2e091a19bc852759b255bd6818810a42c5fed14a,48,Female,24,30.75,Two-Year,,738.0,No,Yes
9400f1b21cb527d7fa3d3eabba93557a18ebe7a2ca4e471cfe5e4c5b4ca7f767,35,Male,98,49.59,Two-Year,Fiber Optic,4859.820000000001,Yes,No
f5ca38f748a1d6eaf726b8a42fb575c3c71f1864a8143301782de13da2d9202b,30,Female,2,89.55,Month-to-Month,Fiber Optic,179.1,No,Yes
6f4b6612125fb3a0daecd2799dfd6c9c299424fd920f9b308110a2c1fbd8f443,59,Female,6,73.56,One-Year,DSL,441.36,No,Yes
785f3ec7eb32f30b90cd0fcf3657d388b5ff4297f2f9716ff66e9b69c05ddd09,42,Female,10,30.48,Month-to-Month,,304.8,No,Yes
535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790,45,Male,10,102.4,Month-to-Month,DSL,1024.0,Yes,Yes
c2356069e9d1e79ca924378153cfbbfb4d4416b1f99d41a2940bfdb66c5319db,30,Male,10,99.55,One-Year,Fiber Optic,995.5,Yes,Yes
b7a56873cd771f2c446d369b649430b65a756ba278ff97ec81bb6f55b2e73569,39,Male,47,79.36,One-Year,DSL,3729.92,Yes,No
5f9c4ab08cac7457e9111a30e4664920607ea2c115a1433d7be98e97e64244ca,46,Male,25,35.98,Two-Year,DSL,899.4999999999999,Yes,No
670671cd97404156226e507973f2ab8330d3022ca96e0c93bdbdb320c41adcaf,33,Female,18,98.99,One-Year,Fiber Optic,1781.82,Yes,No
59e19706d51d39f66711c2653cd7eb1291c94d9b55eb14bda74ce4dc636d015a,48,Male,7,82.53,Month-to-Month,,577.71,No,Yes
35135aaa6cc23891b40cb3f378c53a17a1127210ce60e125ccf03efcfdaec458,38,Female,34,100.38,Two-Year,DSL,3412.92,Yes,Yes
624b60c58c9d8bfb6ff1886c2fd605d2adeb6ea4da576068201b6c6958ce93f4,42,Male,62,97.66,Two-Year,Fiber Optic,6054.92,Yes,No
eb1e33e8a81b697b75855af6bfcdbcbf7cbbde9f94962ceaec1ed8af21f5a50f,38,Male,34,102.27,Month-to-Month,DSL,3477.18,No,Yes
e29c9c180c6279b0b02abd6a1801c7c04082cf486ec027aa13515e4f3884bb6b,63,Female,0,76.62,Two-Year,DSL,0.0,Yes,Yes
c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894,44,Female,20,42.63,Month-to-Month,Fiber Optic,852.6,Yes,Yes
86e50149658661312a9e0b35558d84f6c6d3da797f552a9657fe0558ca40cdef,34,Female,1,90.4,Two-Year,Fiber Optic,90.4,Yes,Yes
9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953,53,Female,5,85.84,Month-to-Month,DSL,429.2000000000001,Yes,Yes
76a50887d8f1c2e9301755428990ad81479ee21c25b43215cf524541e0503269,32,Female,1,96.8,Month-to-Month,Fiber Optic,96.8,No,Yes
7a61b53701befdae0eeeffaecc73f14e20b537bb0f8b91ad7c2936dc63562b25,47,Male,18,45.29,Month-to-Month,DSL,815.22,Yes,Yes
aea92132c4cbeb263e6ac2bf6c183b5d81737f179f21efdc5863739672f0f470,25,Female,23,47.55,One-Year,Fiber Optic,1093.65,Yes,No
0b918943df0962bc7a1824c0555a389347b4febdc7cf9d1254406d80ce44e3f9,31,Female,2,110.14,Month-to-Month,,220.28,No,Yes
d59eced1ded07f84c145592f65bdf854358e009c5cd705f5215bf18697fed103,46,Female,9,97.5,Month-to-Month,,877.5,No,Yes
3d914f9348c9cc0ff8a79716700b9fcd4d2f3e711608004eb8f138bcba7f14d9,52,Male,12,111.74,One-Year,Fiber Optic,1340.88,Yes,Yes
73475cb40a568e8da8a045ced110137e159f890ac4da883b6b17dc651b3a8049,46,Female,9,98.28,Two-Year,Fiber Optic,884.52,Yes,Yes
44cb730c420480a0477b505ae68af508fb90f96cf0ec54c6ad16949dd427f13a,43,Male,2,83.74,Month-to-Month,,167.48,No,Yes
71ee45a3c0db9a9865f7313dd3372cf60dca6479d46261f3542eb9346e4a04d6,41,Male,10,88.87,Month-to-Month,DSL,888.7,Yes,Yes
811786ad1ae74adfdd20dd0372abaaebc6246e343aebd01da0bfc4c02bf0106c,30,Male,27,110.02,Month-to-Month,,2970.54,No,Yes
25fc0e7096fc653718202dc30b0c580b8ab87eac11a700cba03a7c021bc35b0c,37,Male,1,82.09,Month-to-Month,,82.09,No,Yes
31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617,40,Female,1,86.92,Two-Year,DSL,86.92,Yes,Yes
98010bd9270f9b100b6214a21754fd33bdc8d41b2bc9f9dd16ff54d3c34ffd71,55,Female,8,44.08,Two-Year,DSL,352.64,No,Yes
0e17daca5f3e175f448bacace3bc0da47d0655a74c8dd0dc497a3afbdad95f1f,48,Female,56,72.65,One-Year,,4068.400000000001,No,Yes
1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb,27,Male,22,94.48,Month-to-Month,Fiber Optic,2078.56,Yes,Yes
031b4af5197ec30a926f48cf40e11a7dbc470048a21e4003b7a3c07c5dab1baa,48,Male,22,54.38,One-Year,DSL,1196.36,Yes,No
41cfc0d1f2d127b04555b7246d84019b4d27710a3f3aff6e7764375b1e06e05d,41,Male,8,48.2,One-Year,DSL,385.6,No,Yes
2858dcd1057d3eae7f7d5f782167e24b61153c01551450a628cee722509f6529,38,Female,18,58.24,Two-Year,Fiber Optic,1048.32,Yes,No
2fca346db656187102ce806ac732e06a62df0dbb2829e511a770556d398e1a6e,51,Male,0,51.74,One-Year,Fiber Optic,0.0,No,Yes
02d20bbd7e394ad5999a4cebabac9619732c343a4cac99470c03e23ba2bdc2bc,55,Female,20,49.34,One-Year,,986.8,No,Yes
7688b6ef52555962d008fff894223582c484517cea7da49ee67800adc7fc8866,54,Female,48,68.24,One-Year,,3275.5199999999995,No,Yes
c837649cce43f2729138e72cc315207057ac82599a59be72765a477f22d14a54,36,Male,18,111.71,Month-to-Month,DSL,2010.78,Yes,Yes
6208ef0f7750c111548cf90b6ea1d0d0a66f6bff40dbef07cb45ec436263c7d6,41,Female,41,75.64,Two-Year,Fiber Optic,3101.24,Yes,No
3e1e967e9b793e908f8eae83c74dba9bcccce6a5535b4b462bd9994537bfe15c,48,Female,25,46.91,One-Year,Fiber Optic,1172.75,No,Yes
39fa9ec190eee7b6f4dff1100d6343e10918d044c75eac8f9e9a2596173f80c9,54,Female,2,36.93,One-Year,Fiber Optic,73.86,No,Yes
d029fa3a95e174a19934857f535eb9427d967218a36ea014b70ad704bc6c8d1c,40,Female,46,92.65,Month-to-Month,DSL,4261.900000000001,Yes,Yes
81b8a03f97e8787c53fe1a86bda042b6f0de9b0ec9c09357e107c99ba4d6948a,43,Male,1,64.45,One-Year,,64.45,No,Yes
da4ea2a5506f2693eae190d9360a1f31793c98a1adade51d93533a6f520ace1c,33,Male,15,103.96,One-Year,,1559.4,No,Yes
a68b412c4282555f15546cf6e1fc42893b7e07f271557ceb021821098dd66c1b,33,Female,3,89.36,Month-to-Month,Fiber Optic,268.08,Yes,Yes
108c995b953c8a35561103e2014cf828eb654a99e310f87fab94c2f4b7d2a04f,53,Female,0,101.66,Month-to-Month,Fiber Optic,0.0,Yes,Yes
3ada92f28b4ceda38562ebf047c6ff05400d4c572352a1142eedfef67d21e662,58,Male,10,54.48,One-Year,DSL,544.8,Yes,Yes
49d180ecf56132819571bf39d9b7b342522a2ac6d23c1418d3338251bfe469c8,44,Female,6,92.31,One-Year,Fiber Optic,553.86,Yes,Yes
a21855da08cb102d1d217c53dc5824a3a795c1c1a44e971bf01ab9da3a2acbbf,55,Female,13,53.77,One-Year,Fiber Optic,699.01,Yes,No
c75cb66ae28d8ebc6eded002c28a8ba0d06d3a78c6b5cbf9b2ade051f0775ac4,48,Female,17,114.52,Month-to-Month,Fiber Optic,1946.84,Yes,Yes
ff5a1ae012afa5d4c889c50ad427aaf545d31a4fac04ffc1c4d03d403ba4250a,38,Male,0,87.27,One-Year,,0.0,No,Yes
7f2253d7e228b22a08bda1f09c516f6fead81df6536eb02fa991a34bb38d9be8,48,Female,2,59.21,Month-to-Month,Fiber Optic,118.42,Yes,Yes
8722616204217eddb39e7df969e0698aed8e599ba62ed2de1ce49b03ade0fede,60,Female,16,54.26,Month-to-Month,Fiber Optic,868.16,Yes,Yes
96061e92f58e4bdcdee73df36183fe3ac64747c81c26f6c83aada8d2aabb1864,44,Male,8,47.18,Month-to-Month,,377.44,No,Yes
eb624dbe56eb6620ae62080c10a273cab73ae8eca98ab17b731446a31c79393a,60,Male,26,92.52,Month-to-Month,DSL,2405.52,No,Yes
f369cb89fc627e668987007d121ed1eacdc01db9e28f8bb26f358b7d8c4f08ac,18,Female,21,49.68,Month-to-Month,Fiber Optic,1043.28,Yes,Yes
f74efabef12ea619e30b79bddef89cffa9dda494761681ca862cff2871a85980,53,Male,37,83.58,Month-to-Month,Fiber Optic,3092.46,Yes,Yes
a88a7902cb4ef697ba0b6759c50e8c10297ff58f942243de19b984841bfe1f73,45,Female,23,53.82,Month-to-Month,Fiber Optic,1237.86,No,Yes
349c41201b62db851192665c504b350ff98c6b45fb62a8a2161f78b6534d8de9,42,Female,11,89.58,Month-to-Month,,985.38,No,Yes
98a3ab7c340e8a033e7b37b6ef9428751581760af67bbab2b9e05d4964a8874a,45,Male,22,103.34,One-Year,Fiber Optic,2273.48,Yes,Yes
48449a14a4ff7d79bb7a1b6f3d488eba397c36ef25634c111b49baf362511afc,25,Female,6,100.02,Month-to-Month,,600.12,No,Yes
5316ca1c5ddca8e6ceccfce58f3b8540e540ee22f6180fb89492904051b3d531,42,Male,7,98.48,Month-to-Month,Fiber Optic,689.36,No,Yes
a46e37632fa6ca51a13fe39a567b3c23b28c2f47d8af6be9bd63e030e214ba38,48,Female,31,46.9,Two-Year,Fiber Optic,1453.9,No,Yes
bbb965ab0c80d6538cf2184babad2a564a010376712012bd07b0af92dcd3097d,59,Male,11,37.95,Month-to-Month,,417.4500000000001,No,Yes
44c8031cb036a7350d8b9b8603af662a4b9cdbd2f96e8d5de5af435c9c35da69,39,Female,32,92.91,One-Year,DSL,2973.12,No,Yes
b4944c6ff08dc6f43da2e9c824669b7d927dd1fa976fadc7b456881f51bf5ccc,36,Male,34,63.15,Month-to-Month,DSL,2147.1,Yes,Yes
434c9b5ae514646bbd91b50032ca579efec8f22bf0b4aac12e65997c418e0dd6,39,Male,38,68.91,Month-to-Month,Fiber Optic,2618.58,Yes,Yes
bdd2d3af3a5a1213497d4f1f7bfcda898274fe9cb5401bbc0190885664708fc2,54,Female,49,32.8,One-Year,DSL,1607.1999999999998,Yes,No
8b940be7fb78aaa6b6567dd7a3987996947460df1c668e698eb92ca77e425349,48,Male,11,53.36,One-Year,DSL,586.96,Yes,Yes
cd70bea023f752a0564abb6ed08d42c1440f2e33e29914e55e0be1595e24f45a,39,Female,7,33.03,Two-Year,Fiber Optic,231.21,Yes,Yes
69f59c273b6e669ac32a6dd5e1b2cb63333d8b004f9696447aee2d422ce63763,50,Male,17,109.13,One-Year,Fiber Optic,1855.21,Yes,Yes
1da51b8d8ff98f6a48f80ae79fe3ca6c26e1abb7b7d125259255d6d2b875ea08,45,Female,9,51.91,Two-Year,Fiber Optic,467.19,Yes,Yes
8241649609f88ccd2a0a5b233a07a538ec313ff6adf695aa44a969dbca39f67d,54,Male,18,80.16,Month-to-Month,,1442.88,No,Yes
6e4001871c0cf27c7634ef1dc478408f642410fd3a444e2a88e301f5c4a35a4d,37,Female,24,33.51,Month-to-Month,Fiber Optic,804.24,Yes,Yes
e3d6c4d4599e00882384ca981ee287ed961fa5f3828e2adb5e9ea890ab0d0525,41,Male,23,90.02,Month-to-Month,,2070.46,No,Yes
ad48ff99415b2f007dc35b7eb553fd1eb35ebfa2f2f308acd9488eeb86f71fa8,41,Male,9,59.07,Month-to-Month,DSL,531.63,Yes,Yes
7b1a278f5abe8e9da907fc9c29dfd432d60dc76e17b0fabab659d2a508bc65c4,30,Male,3,110.81,One-Year,Fiber Optic,332.43,Yes,Yes
d6d824abba4afde81129c71dea75b8100e96338da5f416d2f69088f1960cb091,47,Male,11,109.93,One-Year,,1209.23,No,Yes
29db0c6782dbd5000559ef4d9e953e300e2b479eed26d887ef3f92b921c06a67,47,Female,3,59.28,Month-to-Month,Fiber Optic,177.84,Yes,Yes
8c1f1046219ddd216a023f792356ddf127fce372a72ec9b4cdac989ee5b0b455,45,Male,44,111.09,Two-Year,,4887.96,No,Yes
ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,42,Female,8,119.65,Two-Year,Fiber Optic,957.2,Yes,Yes
16dc368a89b428b2485484313ba67a3912ca03f2b2b42429174a4f8b3dc84e44,30,Male,3,104.29,Month-to-Month,DSL,312.87,Yes,Yes
37834f2f25762f23e1f74a531cbe445db73d6765ebe60878a7dfbecd7d4af6e1,40,Male,0,106.04,Month-to-Month,Fiber Optic,0.0,Yes,Yes
454f63ac30c8322997ef025edff6abd23e0dbe7b8a3d5126a894e4a168c1b59b,41,Female,20,52.41,Month-to-Month,Fiber Optic,1048.1999999999998,Yes,Yes
5ef6fdf32513aa7cd11f72beccf132b9224d33f271471fff402742887a171edf,36,Female,20,81.9,Month-to-Month,,1638.0,No,Yes
1253e9373e781b7500266caa55150e08e210bc8cd8cc70d89985e3600155e860,43,Male,8,36.05,Month-to-Month,DSL,288.4,Yes,Yes
482d9673cfee5de391f97fde4d1c84f9f8d6f2cf0784fcffb958b4032de7236c,49,Male,1,38.54,One-Year,,38.54,No,Yes
3346f2bbf6c34bd2dbe28bd1bb657d0e9c37392a1d5ec9929e6a5df4763ddc2d,63,Male,10,119.9,Month-to-Month,,1199.0,No,Yes
9537f32ec7599e1ae953af6c9f929fe747ff9dadf79a9beff1f304c550173011,46,Female,7,59.4,Month-to-Month,DSL,415.8,No,Yes
0fd42b3f73c448b34940b339f87d07adf116b05c0227aad72e8f0ee90533e699,47,Female,22,97.34,Two-Year,Fiber Optic,2141.48,Yes,No
9bdb2af6799204a299c603994b8e400e4b1fd625efdb74066cc869fee42c9df3,44,Male,18,102.6,One-Year,,1846.8,No,Yes
f6e0a1e2ac41945a9aa7ff8a8aaa0cebc12a3bcc981a929ad5cf810a090e11ae,25,Female,9,107.22,Two-Year,,964.98,No,Yes
b1556dea32e9d0cdbfed038fd7787275775ea40939c146a64e205bcb349ad02f,44,Female,4,119.79,Month-to-Month,Fiber Optic,479.16,Yes,Yes
6c658ee83fb7e812482494f3e416a876f63f418a0b8a1f5e76d47ee4177035cb,45,Female,88,51.73,Month-to-Month,Fiber Optic,4552.24,Yes,Yes
9f1f9dce319c4700ef28ec8c53bd3cc8e6abe64c68385479ab89215806a5bdd6,69,Female,12,33.63,One-Year,Fiber Optic,403.56000000000006,No,Yes
28dae7c8bde2f3ca608f86d0e16a214dee74c74bee011cdfdd46bc04b655bc14,43,Male,23,67.01,Month-to-Month,Fiber Optic,1541.23,Yes,Yes
e5b861a6d8a966dfca7e7341cd3eb6be9901688d547a72ebed0b1f5e14f3d08d,48,Male,3,41.71,Month-to-Month,DSL,125.13,Yes,Yes
2ac878b0e2180616993b4b6aa71e61166fdc86c28d47e359d0ee537eb11d46d3,44,Male,13,32.02,One-Year,,416.2600000000001,No,Yes
85daaf6f7055cd5736287faed9603d712920092c4f8fd0097ec3b650bf27530e,33,Male,0,62.44,One-Year,DSL,0.0,Yes,Yes
3038bfb575bee6a0e61945eff8784835bb2c720634e42734678c083994b7f018,56,Female,14,100.54,Month-to-Month,DSL,1407.5600000000002,Yes,Yes
2abaca4911e68fa9bfbf3482ee797fd5b9045b841fdff7253557c5fe15de6477,52,Female,66,80.96,Month-to-Month,Fiber Optic,5343.36,Yes,Yes
89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,52,Male,9,58.15,Month-to-Month,Fiber Optic,523.35,Yes,Yes
1be00341082e25c4e251ca6713e767f7131a2823b0052caf9c9b006ec512f6cb,35,Male,0,88.89,Month-to-Month,Fiber Optic,0.0,No,Yes
a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,59,Male,0,50.88,Month-to-Month,Fiber Optic,0.0,No,Yes
6affdae3b3c1aa6aa7689e9b6a7b3225a636aa1ac0025f490cca1285ceaf1487,30,Female,9,31.29,Month-to-Month,Fiber Optic,281.61,Yes,Yes
0f8ef3377b30fc47f96b48247f463a726a802f62f3faa03d56403751d2f66c67,50,Male,3,98.79,Month-to-Month,DSL,296.37,No,Yes
65a699905c02619370bcf9207f5a477c3d67130ca71ec6f750e07fe8d510b084,66,Female,0,86.14,Two-Year,Fiber Optic,0.0,Yes,Yes
922c7954216ccfe7a61def609305ce1dc7c67e225f873f256d30d7a8ee4f404c,35,Male,28,98.61,One-Year,,2761.08,No,Yes
2747b7c718564ba5f066f0523b03e17f6a496b06851333d2d59ab6d863225848,39,Male,12,33.5,One-Year,Fiber Optic,402.0,Yes,No
6566230e3a3ce3774c1bbc7c18b590ae0f457bbcd511e90e3e7dca2a02e7addc,45,Female,6,105.34,Month-to-Month,Fiber Optic,632.04,Yes,Yes
38d66d9692ac590000a91b03a88da1c88d51fab2b78f63171f553ecc551a0c6f,39,Female,46,85.76,Month-to-Month,Fiber Optic,3944.96,Yes,Yes
eeca91fd439b6d5e827e8fda7fee35046f2def93508637483f6be8a2df7a4392,29,Male,2,80.71,Month-to-Month,,161.42,No,Yes
dbb1ded63bc70732626c5dfe6c7f50ced3d560e970f30b15335ac290358748f6,45,Female,62,86.22,Month-to-Month,DSL,5345.64,No,Yes
d2f483672c0239f6d7dd3c9ecee6deacbcd59185855625902a8b1c1a3bd67440,34,Female,7,107.8,Month-to-Month,Fiber Optic,754.6,Yes,Yes
5d389f5e2e34c6b0bad96581c22cee0be36dcf627cd73af4d4cccacd9ef40cc3,49,Female,43,82.82,One-Year,,3561.26,No,Yes
13671077b66a29874a2578b5240319092ef2a1043228e433e9b006b5e53e7513,35,Male,18,82.29,One-Year,Fiber Optic,1481.22,No,Yes
36ebe205bcdfc499a25e6923f4450fa8d48196ceb4fa0ce077d9d8ec4a36926d,60,Female,35,119.16,One-Year,DSL,4170.599999999999,No,Yes
d80eae6e96d148b3b2abbbc6760077b66c4ea071f847dab573d507a32c4d99a5,37,Female,82,98.11,Month-to-Month,Fiber Optic,8045.019999999999,No,Yes
d6a4031733610bb080d0bfa794fcc9dbdcff74834aeaab7c6b927e21e9754037,41,Female,6,69.81,Two-Year,DSL,418.86,Yes,Yes
8d27ba37c5d810106b55f3fd6cdb35842007e88754184bfc0e6035f9bcede633,53,Male,64,93.67,Month-to-Month,Fiber Optic,5994.88,No,Yes
dbae772db29058a88f9bd830e957c695347c41b6162a7eb9a9ea13def34be56b,32,Male,9,65.03,Month-to-Month,,585.27,No,Yes
2c7d5490e6050836f8f2f0d496b1c8d6a38d4ffac2b898e6e77751bdcd20ebf5,47,Male,9,50.6,Month-to-Month,DSL,455.4,Yes,Yes
d4ee9f58e5860574ca98e3b4839391e7a356328d4bd6afecefc2381df5f5b41b,58,Female,8,83.72,One-Year,,669.76,No,Yes
d6f0c71ef0c88e45e4b3a2118fcb83b0def392d759c901e9d755d0e879028727,28,Male,15,113.54,Two-Year,DSL,1703.1,Yes,Yes
5ec1a0c99d428601ce42b407ae9c675e0836a8ba591c8ca6e2a2cf5563d97ff0,46,Female,3,113.62,Month-to-Month,,340.86,No,Yes
be47addbcb8f60566a3d7fd5a36f8195798e2848b368195d9a5d20e007c59a0c,47,Female,16,60.77,Two-Year,Fiber Optic,972.32,Yes,No
0a5b046d07f6f971b7776de682f57c5b9cdc8fa060db7ef59de82e721c8098f4,52,Male,15,77.49,Two-Year,DSL,1162.35,Yes,No
1d28c120568c10e19b9d8abe8b66d0983fa3d2e11ee7751aca50f83c6f4a43aa,32,Female,28,49.05,Month-to-Month,DSL,1373.4,No,Yes
ec2e990b934dde55cb87300629cedfc21b15cd28bbcf77d8bbdc55359d7689da,31,Male,35,119.61,Month-to-Month,,4186.35,No,Yes
05ada863a4cf9660fd8c68e2295f1d35b2264815f5b605003d6625bd9e0492cf,50,Female,11,118.3,Month-to-Month,DSL,1301.3,Yes,Yes
9ae2bdd7beedc2e766c6b76585530e16925115707dc7a06ab5ee4aa2776b2c7b,47,Male,7,88.46,Two-Year,DSL,619.2199999999999,Yes,Yes
8e612bd1f5d132a339575b8dafb7842c64614e56bcf3d5ab65a0bc4b34329407,47,Female,6,102.4,Month-to-Month,Fiber Optic,614.4000000000001,No,Yes
043066daf2109523a7490d4bfad4766da5719950a2b5f96d192fc0537e84f32a,48,Female,4,94.36,One-Year,Fiber Optic,377.44,Yes,Yes
620c9c332101a5bae955c66ae72268fbcd3972766179522c8deede6a249addb7,38,Female,1,83.38,Month-to-Month,Fiber Optic,83.38,Yes,Yes
1d0ebea552eb43d0b1e1561f6de8ae92e3de7f1abec52399244d1caed7dbdfa6,47,Female,8,34.8,One-Year,DSL,278.4,Yes,Yes
210e3b160c355818509425b9d9e9fd3ea2e287f2c43a13e5be8817140db0b9e6,47,Female,6,70.93,Month-to-Month,DSL,425.58,No,Yes
0fecf9247f3ddc84db8a804fa3065c013baf6b7c2458c2ba2bf56c2e1d42ddd4,37,Female,67,90.73,One-Year,DSL,6078.91,No,Yes
c75de23d89df36ba921287616ee8edb4c986e328a78e033e57c1e5e2b59c838e,63,Female,16,90.98,Two-Year,DSL,1455.68,Yes,No
7ed8f0f3b707956d9fb1e889e11153e0aa0a854983081d262fbe5eede32da7ca,49,Female,8,63.58,Two-Year,Fiber Optic,508.64,Yes,Yes
ff2ccb6ba423d356bd549ed4bfb76e96976a0dcde05a09996a1cdb9f83422ec4,33,Male,17,114.75,Two-Year,,1950.75,No,Yes
a512db2741cd20693e4b16f19891e72b9ff12cead72761fc5e92d2aaf34740c1,51,Female,2,45.06,Month-to-Month,DSL,90.12,Yes,Yes
bb668ca95563216088b98a62557fa1e26802563f3919ac78ae30533bb9ed422c,35,Female,11,75.03,One-Year,Fiber Optic,825.33,Yes,Yes
79d6eaa2676189eb927f2e16a70091474078e2117c3fc607d35cdc6b591ef355,52,Female,19,92.18,Month-to-Month,Fiber Optic,1751.42,Yes,Yes
3d3286f7cd19074f04e514b0c6c237e757513fb32820698b790e1dec801d947a,56,Male,13,92.74,Month-to-Month,,1205.62,No,Yes
3f9807cb9ae9fb6c30942af6139909d27753a5e03fe5a5c6e93b014f5b17366f,36,Female,10,88.38,One-Year,,883.8,No,Yes
bc52dd634277c4a34a2d6210994a9a5e2ab6d33bb4a3a8963410e00ca6c15a02,54,Male,101,54.78,Month-to-Month,,5532.78,No,Yes
e0f05da93a0f5a86a3be5fc0e301606513c9f7e59dac2357348aa0f2f47db984,49,Female,42,44.06,One-Year,DSL,1850.52,Yes,No
73d3f1ba062585bce51f77d70a26be88c44b55d70f81b8bd7e2ded030ca4454a,53,Male,19,87.23,Two-Year,DSL,1657.37,No,Yes
80c3cd40fa35f9088b8741bd8be6153de05f661cfeeb4625ffbf5f4a6c3c02c4,63,Female,16,83.94,Month-to-Month,Fiber Optic,1343.04,Yes,Yes
f57e5cb1f4532c008183057ecc94283801fcb5afe2d1c190e3dfd38c4da08042,42,Female,19,46.14,One-Year,DSL,876.66,No,Yes
734d0759cdb4e0d0a35e4fd73749aee287e4fdcc8648b71a8d6ed591b7d4cb3f,37,Male,4,93.46,Month-to-Month,Fiber Optic,373.84,Yes,Yes
284de502c9847342318c17d474733ef468fbdbe252cddf6e4b4be0676706d9d0,36,Female,10,70.97,Month-to-Month,,709.7,No,Yes
68519a9eca55c68c72658a2a1716aac3788c289859d46d6f5c3f14760fa37c9e,36,Male,0,90.1,Month-to-Month,,0.0,No,Yes
4a8596a7790b5ca9e067da401c018b3206befbcf95c38121854d1a0158e7678a,44,Female,12,105.36,Two-Year,,1264.32,No,Yes
41e521adf8ae7a0f419ee06e1d9fb794162369237b46f64bf5b2b9969b0bcd2e,48,Female,15,45.28,Two-Year,Fiber Optic,679.2,No,Yes
dac53c17c250fd4d4d81eaf6d88435676dac1f3f3896441e277af839bf50ed8a,47,Female,5,31.72,Two-Year,Fiber Optic,158.6,Yes,Yes
cba28b89eb859497f544956d64cf2ecf29b76fe2ef7175b33ea59e64293a4461,53,Female,66,100.12,Two-Year,Fiber Optic,6607.92,No,Yes
8cd2510271575d8430c05368315a87b9c4784c7389a47496080c1e615a2a00b6,45,Female,48,84.87,Month-to-Month,DSL,4073.76,Yes,Yes
01d54579da446ae1e75cda808cd188438834fa6249b151269db0f9123c9ddc61,59,Male,25,92.97,Month-to-Month,,2324.25,No,Yes
3068430da9e4b7a674184035643d9e19af3dc7483e31cc03b35f75268401df77,42,Male,15,105.43,One-Year,DSL,1581.45,No,Yes
7b69759630f869f2723875f873935fed29d2d12b10ef763c1c33b8e0004cb405,72,Female,40,102.25,Month-to-Month,Fiber Optic,4090.0,No,Yes
